DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
NEW ENGLAND,NEW ENGLAND,M_0000012544,P_0000093639,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000019249,P_0000094726,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
PACIFIC,PACIFIC,M_0000058969,P_0000095023,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000001702,P_0000098669,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038215,P_0000100009,SURGI CENTER,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020923,P_0000102102,NON HOSPITAL,CHILDREN'S MEDICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
,AGGREGATED,M_0000003331,P_0000102162,HOSPITAL,CHILDREN'S MEDICAL,,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071503,P_0000110056,MEDICAL GROUP,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
,EAST NORTH CENTRAL,M_0000071467,P_0000110057,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000095305,P_0000110057,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070336,P_0000110135,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070339,P_0000110161,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
,EAST NORTH CENTRAL,M_0000071815,P_0000110207,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000095287,P_0000110207,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071842,P_0000110214,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
NEW ENGLAND,NEW ENGLAND,M_0000036373,P_0000110419,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
NEW ENGLAND,NEW ENGLAND,M_0000033319,P_0000112374,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038266,P_0000114975,CLINIC,ONCOLOGY CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072175,P_0000115157,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000115157,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071557,P_0000115264,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071830,P_0000115305,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000115305,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072070,P_0000115312,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000115312,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072046,P_0000115342,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070336,P_0000115419,HOSPITAL,SKILLED NURSING,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071860,P_0000115421,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000115421,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071464,P_0000115475,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000115475,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000018589,P_0000119320,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000018586,P_0000119323,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000026059,P_0000119502,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043411,P_0000121581,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070336,P_0000122555,HOSPITAL,PHYSICIAN(S),CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072085,P_0000122643,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071623,P_0000122792,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088114,P_0000125080,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088645,P_0000125081,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087943,P_0000125248,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088051,P_0000125271,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,AGGREGATED,M_0000026056,P_0000125857,NON HOSPITAL,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072046,P_0000126863,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088063,P_0000127959,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000004687,P_0000128087,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000042967,P_0000130291,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000034465,P_0000131117,HOSPITAL,HEALTHCARE-OTHER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000068548,P_0000134354,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000021367,P_0000134436,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088087,P_0000143419,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071707,P_0000145132,NURSING HOME,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072046,P_0000146897,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072049,P_0000146897,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072016,P_0000146903,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072046,P_0000146903,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000068530,P_0000147350,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072100,P_0000148965,MEDICAL GROUP,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000085591,P_0000148965,NON HOSPITAL,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000080362,P_0000155863,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000053125,P_0000162268,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000053140,P_0000162292,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053488,P_0000162986,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053527,P_0000163057,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053557,P_0000163057,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000076624,P_0000163149,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053521,P_0000163159,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053542,P_0000163232,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053572,P_0000163239,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000015364,P_0000163881,HOSPITAL,SURGERY CENTER,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
NEW ENGLAND,NEW ENGLAND,M_0000013279,P_0000164715,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
NEW ENGLAND,NEW ENGLAND,M_0000089440,P_0000164715,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088132,P_0000165059,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088525,P_0000165060,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087988,P_0000165061,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087958,P_0000165069,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088081,P_0000165090,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088063,P_0000165146,CLINIC,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
NEW ENGLAND,NEW ENGLAND,M_0000089440,P_0000166051,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000003499,P_0000168147,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000003499,P_0000168154,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000003499,P_0000168171,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000003499,P_0000168176,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000003499,P_0000168477,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000176265,NON HOSPITAL,FREESTANDING HEALTHCARE LAB,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000005827,P_0000183557,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000054157,P_0000184110,MEDICAL GROUP,HEALTHCARE MANAGEMENT SVC ORG,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053491,P_0000184111,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053554,P_0000185006,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000095302,P_0000185185,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070957,P_0000185501,MEDICAL GROUP,HEALTHCARE MANAGEMENT SVC ORG,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000054532,P_0000185660,NURSING HOME,HOME HEALTH CARE AGENCY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000095278,P_0000186275,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000075868,P_0000189178,CLINIC,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072046,P_0000191190,MEDICAL GROUP,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071731,P_0000191202,MEDICAL GROUP,DIALYSIS CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000071782,P_0000191238,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000081235,P_0000201745,CLINIC,HEALTHCARE-OTHER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000081232,P_0000201752,CLINIC,HEALTHCARE-OTHER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000013459,P_0000212104,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033070,P_0000215003,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
NEW ENGLAND,AGGREGATED,M_0000084862,P_AGGREGATED_AGGREGATED_FREESTANDING HEALTHCARE LAB,CLINICAL LAB,FREESTANDING HEALTHCARE LAB,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,AGGREGATED,M_0000029191,P_AGGREGATED_AGGREGATED_MEDICAL ASSOCIATION,NON HOSPITAL,MEDICAL ASSOCIATION,CATEGORY 1: 0-50,AGGREGATED
WEST NORTH CENTRAL,AGGREGATED,M_0000036907,P_AGGREGATED_AGGREGATED_OTHER HOSPITAL,HOSPITAL,OTHER HOSPITAL,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000015742,P_AGGREGATED_EAST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034222,P_AGGREGATED_EAST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034246,P_AGGREGATED_EAST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034258,P_AGGREGATED_EAST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 2: 51-100,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034555,P_AGGREGATED_EAST NORTH CENTRAL_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034231,P_AGGREGATED_EAST NORTH CENTRAL_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011272,P_AGGREGATED_EAST NORTH CENTRAL_FREESTANDING HEALTHCARE LAB,HOSPITAL,FREESTANDING HEALTHCARE LAB,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000074134,P_AGGREGATED_EAST NORTH CENTRAL_FREESTANDING HEALTHCARE LAB,CLINICAL LAB,FREESTANDING HEALTHCARE LAB,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000337,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000002638,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000004363,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000006850,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000010084,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011185,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000014677,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000015727,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000017116,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000017842,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000019114,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000021586,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000033565,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034207,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034246,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000034261,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000037702,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000038029,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000038044,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000038059,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070390,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070456,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
